,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
0,1,20.0,1,0,1,0,1,0,0,4,3,0,1,0,1,1,1
1,0,25.0,0,0,0,0,1,0,1,4,4,0,1,0,1,1,1
2,0,25.0,1,1,1,1,0,0,1,5,2,1,1,0,0,1,0
3,1,21.0,1,1,0,1,1,1,1,5,3,0,0,1,1,1,1
4,0,22.0,1,0,0,0,0,0,1,4,2,1,1,1,1,0,1
5,0,25.0,1,1,1,0,1,1,0,3,2,1,0,1,0,0,0
6,0,24.0,1,1,1,0,0,1,0,5,3,1,1,1,0,1,0
7,0,24.0,1,1,0,1,0,0,1,4,3,1,0,1,0,0,0
8,1,22.0,1,1,0,1,1,1,0,6,3,1,0,1,0,1,0
9,0,21.0,1,1,0,0,1,0,0,6,3,1,0,1,0,1,0
10,0,22.0,1,0,1,0,1,0,1,5,4,0,1,0,1,1,1
12,0,22.0,1,0,0,1,1,0,1,4,3,1,0,1,0,0,1
13,0,22.0,0,1,1,1,0,1,0,3,3,1,1,0,0,0,0
14,0,26.0,1,0,1,0,1,0,1,5,3,0,0,0,0,1,0
15,0,22.0,1,1,0,0,1,1,1,3,4,1,0,0,1,1,0
16,0,24.0,1,0,1,0,1,0,1,3,3,0,0,0,1,1,0
17,0,23.0,1,0,0,0,1,0,1,6,3,0,0,1,0,1,1
18,0,22.0,1,1,0,0,1,0,1,5,3,1,0,0,0,1,1
19,0,22.0,1,1,1,1,1,0,1,5,2,1,0,0,0,1,0
20,0,22.0,1,1,1,0,1,1,0,4,3,1,1,0,0,1,0
21,0,22.0,1,1,0,0,1,0,0,5,3,1,0,1,1,1,0
22,0,24.0,1,0,0,0,1,0,1,3,2,1,1,1,1,1,1
23,1,17.0,0,0,1,0,0,0,1,3,3,0,1,0,1,1,0
24,0,22.0,1,1,0,0,0,1,0,6,3,1,1,0,1,1,1
25,1,21.0,1,1,0,0,1,1,0,6,4,0,0,1,0,0,0
26,0,25.0,1,1,0,0,1,1,1,5,3,0,0,1,0,0,1
27,0,25.0,1,1,0,1,1,1,0,4,2,1,0,1,1,1,0
28,0,26.0,1,0,1,0,0,0,1,3,3,0,0,0,1,1,1
29,0,24.0,1,1,0,1,1,1,0,4,2,1,1,0,1,1,1
30,0,22.0,0,1,0,0,1,1,1,5,3,1,1,1,0,1,0
32,0,26.0,1,1,0,0,1,0,0,3,2,0,1,0,0,0,0
33,1,17.0,1,0,1,1,0,0,1,5,3,1,0,0,1,0,0
34,0,26.0,1,1,0,0,1,0,1,5,3,0,0,1,1,1,0
35,1,22.0,1,0,0,1,0,0,1,5,3,0,1,0,0,1,1
36,0,23.0,1,1,0,0,0,0,0,5,2,1,1,0,0,1,0
37,0,21.0,1,0,1,0,1,0,1,4,4,0,1,0,1,0,1
