Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
Upto HSC,20,Yes,No,Yes,No,Urban,No,Broadband,4,3,No,Public,Rural,Male,Yes,Mobile
Hons or Grater,25,No,No,No,No,Urban,No,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Mobile
Hons or Grater,25,Yes,Yes,Yes,Yes,Rural,No,Mobile Internet,5,2,Yes,Public,Rural,Female,Yes,Computer
Upto HSC,21,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Male,Yes,Mobile
Hons or Grater,22,Yes,No,No,No,Rural,No,Mobile Internet,4,2,Yes,Public,Urban,Male,No,Mobile
Hons or Grater,25,Yes,Yes,Yes,No,Urban,Yes,Broadband,3,2,Yes,Private,Urban,Female,No,Computer
Hons or Grater,24,Yes,Yes,Yes,No,Rural,Yes,Broadband,5,3,Yes,Public,Urban,Female,Yes,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Rural,No,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Computer
Upto HSC,22,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,3,Yes,Private,Urban,Female,Yes,Computer
Hons or Grater,21,Yes,Yes,No,No,Urban,No,Broadband,6,3,Yes,Private,Urban,Female,Yes,Computer
Hons or Grater,22,Yes,No,Yes,No,Urban,No,Mobile Internet,5,4,No,Public,Rural,Male,Yes,Mobile
Hons or Grater,24,Yes,,Yes,No,Urban,Yes,Broadband,6,3,No,,,,No,Computer
Hons or Grater,22,Yes,No,No,Yes,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Mobile
Hons or Grater,22,No,Yes,Yes,Yes,Rural,Yes,Broadband,3,3,Yes,Public,Rural,Female,No,Computer
Hons or Grater,26,Yes,No,Yes,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Female,Yes,Computer
Hons or Grater,22,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,4,Yes,Private,Rural,Male,Yes,Computer
Hons or Grater,24,Yes,No,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Computer
Hons or Grater,23,Yes,No,No,No,Urban,No,Mobile Internet,6,3,No,Private,Urban,Female,Yes,Mobile
Hons or Grater,22,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,Yes,Private,Rural,Female,Yes,Mobile
Hons or Grater,22,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,5,2,Yes,Private,Rural,Female,Yes,Computer
